,,labels,text,ppl
47294,衣服,0,垃圾，不想多说，大家别上当了,12.687325586171351
47506,衣服,0,穿了一次，扔了，好还是不好？,8.08866896415939
6287,平板,1,屏幕够大，上手容易，物流很快。,13.162792051802413
39475,衣服,1,买回来很合适，老公很喜欢。。。,7.848601236525659
38335,衣服,1,质量非常不错，穿起来很舒服。,3.8116259462052993
32710,洗发水,0,就是好难受看到你日目的地后的吧,425.63291803544377
7812,平板,1,帮朋友买的，反馈信息还不错?。,13.016494506619178
33424,洗发水,0,快递丢失 不处理 没有维权渠道,10.29542057453137
39217,衣服,1,很不错哦，我又要在买多一条了,30.99851402151644
35260,洗发水,0,这个商标都掉了，可能是二手货吧,7.339085599826433
19076,水果,1,苹果包装完好，吃起来香甜可口！,9.116589689030462
30863,洗发水,0,买了几天了米用，今天一拿出来用,48.945235868883216
58781,酒店,0,酒店很旧，设施陈旧！花洒漏水,37.49479876265778
10412,平板,0,卡出翔，到底是不是3G运行？,36.50397956766802
46154,衣服,0,物流太慢了，就凭这一条给你零分,25.515664002072434
39374,衣服,1,宝贝质量很好，面料不错，点赞,9.75781622941061
34631,洗发水,0,非常无语，包装是裸的，没有塑封,43.64079357217776
57024,酒店,0,所有的房间里的设施不是很齐全！,5.432935714910826
42499,衣服,1,不错，穿上很舒服，面料也不错,3.6951078748151653
47937,衣服,0,不满意，色差太大！做工一般！！,10.028612269326363
18689,水果,1,苹果不错！很新鲜！到货也很快！,2.9197211165088834
47073,衣服,0,洗一次线全扯掉了，做工非常粗糙,7.809299321482505
30716,洗发水,0,可以，比超市便宜，用起来香香的,7.109963215104348
14578,手机,0,功能可以，但表面出现掉漆现象,6.800985772426176
33936,洗发水,0,送来都爆开了，包装能用点心吗？,45.07536768034804
46214,衣服,0,大小不标准 垃圾货下次去桃宝买,113.22142692076847
18541,水果,1,统一大小，味道一般，包装很好。,9.791903868997371
6147,平板,1,东西不错，真的很喜欢很喜欢。,5.832214586472004
35038,洗发水,0,一点都不好，，，洗了很痒，差评,39.25635231138574
21809,水果,0,包装不错，口号不太好，很硬不甜,55.885800907127305
47351,衣服,0,太差了，以后不会买了，懒得退,9.666979763660684
11255,平板,0,分辨率太低了，看着模糊，后悔了,3.953777234256174
6495,平板,1,我这个是给妈妈买的，她很喜欢,2.160890239585222
27960,洗发水,1,还行吧，感觉可以满意。好评！,8.875827718200654
15805,水果,1,很脆，味道很好，从江苏仓库发货,6.8071170266497525
59784,酒店,0,凑合吧，旺季也不便宜，隔音太差,23.369907989867386
30190,洗发水,1,比超市便宜，还方便，省的逛超市,4.781385434843648
41065,衣服,1,一直喜欢的牌子，好好好好好……,7.610739185144664
12495,平板,0,不好不好不好，真的不好，上当,3.7257542693131414
4490,平板,1,刚拿到还没用还知道功能什么样,20.531506889243243
37775,蒙牛,0,你让我这个蒙牛脑残粉情何以堪？,7.906795121940489
18639,水果,1,苹果个小点，颜色一般吃着还行。,11.29986471178144
6522,平板,1,不错很好，京东快递给力棒棒哒,15.034995123040797
45361,衣服,0,穿了两次，而且面料粗糙，易脏,8.362896618070176
23149,水果,0,心好几个发黑的。潘石译太差了！,65.81439101164857
45269,衣服,0,号码偏小，是棉的，颜色也还可以,11.560316909103207
35507,热水器,1,给父母买的，挺好的，非常满意！,3.418314870486461
45110,衣服,0,不好，有味非常刺鼻，而且还慢！,21.15930007549509
36596,蒙牛,1,果断的支持下，还是蒙牛厉害啊,19.377894175889445
34714,洗发水,0,京东客服很垃圾，购买商品注意,19.19266608468487
39832,衣服,1,哈哈哈红红火火恍恍惚惚哈哈哈哈,2.498449209407853
36639,蒙牛,1,蒙牛纯牛奶换新包装了，支持一下,17.06979895789555
43503,衣服,0,质量和版型和图片不一样，不好看,11.675814162109555
18791,水果,1,刚收到，看着还可以。还没有吃。,8.18074436576237
5050,平板,1,不错，暂时用着各方面都很满意,7.147198831689865
45857,衣服,0,等啦一个星期才到，无敌的郁闷,14.45362227441717
38304,衣服,1,非常愉快的一次购物。价廉物美。,4.18284496712917
32290,洗发水,0,太差劲了，根本和实体店的不同,6.3211122551195285
17172,水果,1,早上下单，晚上收到，物流很快。,5.307647420035199
26214,洗发水,1,看着挺好的 洗发水我 还没用,10.22832883587854
43653,衣服,0,不好 买回来穿一次口袋就破了,7.853600849067826
28796,洗发水,1,给家人买的，家人都喜欢用这个。,4.33435180940757
45067,衣服,0,买回一看，跟夜市买的一样，*,90.49543415827361
13200,手机,1,体积轻巧。做工精细。价格低廉。,4.328329937079288
40256,衣服,1,白色质量一般般，料子不是很好！,18.27588491072256
12627,平板,0,wifi不靠谱，上网有限制。,4.560016680347973
20546,水果,0,苹果有坏的，不新鲜，自欺欺人。,29.24583810873631
41781,衣服,1,裤子质量挺好的 料子很舒服啊,18.970418787887414
5986,平板,1,除了不是全网通以外，其他都蛮好,5.530351092590389
61796,酒店,0,服务差，环境差，缺乏管理和训练,2.47670480250383
47908,衣服,0,非常多小碎毛，穿了一次起球球,124.87380577252976
4899,平板,1,机器很不错，外观漂亮 包装精美,6.290735282981474
7036,平板,1,买的第二个了物有所值相信京东,14.371658216327685
40508,衣服,1,质量看着还好，就是有点瘦了。,8.037392339173344
31474,洗发水,0,这物流是蜗牛～产品有待考证～,19.698714599726255
4337,平板,1,帮侄子买的，小朋友说挺好用的。,7.094122913842023
40660,衣服,1,手感不错 料子不错 样式不错,11.608102835786184
12511,平板,0,二手的机子 电池不抗用 太坑了,88.23059593259698
28485,洗发水,1,支持大牌！重要的是搞活动便宜！,13.817545112745815
42157,衣服,1,物美价廉，顶顶顶顶顶顶顶顶顶,22.37472153707501
35078,洗发水,0,洗完头很多头皮屑，怀疑买的假货,12.618505796381852
39965,衣服,1,质量不错，值得购买，价钱也实惠,3.55547218709849
35703,热水器,1,产品就不评价了，正在使用中。,5.777636425247467
31868,洗发水,0,沙宣的产品，得看个人适不适合,11.02290893666609
5547,平板,1,真心好用！原装最新版本！喜欢！,16.79669760454271
44544,衣服,0,差评 拉链不行，各位兄弟注意了,28.856548693158384
42912,衣服,1,很好，质量不错，店家态度挺好,4.392051058006011
7180,平板,1,不错，非常好用！流畅，不卡。,5.486479657238424
7323,平板,1,京东我信任！便宜实惠邮寄快！,33.792582634140835
5333,平板,1,超爽啊，比我之前用的三星好多了,4.293798724073587
31995,洗发水,0,真假噶时间看书考试计算机技术,18.935539683234037
46205,衣服,0,真的差，都不想在班尼路买衣服了,51.145634260902085
12993,平板,0,什么玩意，服了京东了！垃圾，,41.226773592819015
45391,衣服,0,不满意，希望下次不要让我失望,2.920857788292943
5688,平板,1,速度还不错，还好卖的是32G的,46.834790829285154
38275,衣服,1,舒服，就是质量一般，就值这个价,10.831403588300333
32027,洗发水,0,发错货 还不给我发票 京东 烂,51.090019583233115
7874,平板,1,还可以吧，用了几天暂时没问题,3.2734406753269356
12584,平板,0,耗电快，反应慢，还没有提供发票,12.26130131552061
17836,水果,1,很好，价廉物美经济实惠值得购买,4.499989114797164
5859,平板,1,商品很好 发货很快 服务很好,3.7922474667127672
35723,热水器,1,美的热水器挺好用的，感觉不错,3.366459637478659
25549,洗发水,1,京东自营的就是货真价实！！！,21.248090582480955
29724,洗发水,1,不错，和实体店的一样，很满意的,6.801542840681082
12196,平板,0,我觉得京东我都不会再买东西了，,7.840400011103977
41718,衣服,1,样式不错 颜色不错 穿上很舒服,4.220897317845565
46444,衣服,0,尺码不对，颜色也不对，能不能放,5.298551670433934
31748,洗发水,0,不好用，洗过头后，满头头皮屑,33.899858694710744
11185,平板,0,物流很快，但是机子不理想，卡,10.420048370084256
9183,平板,0,用两个月就死机，商家不厚道，,13.095831785955133
32423,洗发水,0,哎、不想说什么、居然不给我退！,17.245664288269694
34298,洗发水,0,说好送浴巾的却不发，差评，*,209.92127024323824
3087,平板,1,外观不错，手感也很好，非常喜欢,2.379289783598014
8613,平板,0,差了 在50公分高跌落就这样了,33.05773876483737
46772,衣服,0,很差很差，衣服和图片上的差很远,12.374617111759218
20910,水果,0,包装不错，东西可咋说，不咋地。,66.66003671321012
33100,洗发水,0,为什么收到的货和图片不一样？,5.5712968900992985
44208,衣服,0,**店铺，从购买到换货不负责任,9.543782391282543
38737,衣服,1,很不错 男朋友很喜欢 强力推荐,6.714261579166451
37785,蒙牛,0,蒙牛伤不起啊！喝蒙牛更伤不起！,12.379091786232795
6390,平板,1,质量还行，这个价位还是不错的,3.008528432322844
28231,洗发水,1,不错的，送货速度快，价格实惠。,4.163630492162467
34237,洗发水,0,外包装都被拆开了，嘛意思啊？,7.796382804882886
45505,衣服,0,别人的退换货，干洗发的皱皱巴巴,93.0944202877096
15581,水果,1,还不错，一直购买的品牌....,6.90191384852044
30847,洗发水,0,还没开始用，价格和超市差不多。,4.271820378507211
37974,蒙牛,0,如果是真的就卸载一切360软件,7.708819968500888
26977,洗发水,1,套装商品还满减谁不心动不如行动,63.27399011567009
5066,平板,1,商品很不错，京东加油！支持！！,20.840031944644267
27212,洗发水,1,还不错吧，其实没觉得有多大不同,2.887520247368187
12871,平板,0,怎么我刚才差评会不见了呢？？？,35.025841861688
21666,水果,0,大家看看这样的苹果要怎么吃啊！,5.039117709287804
43538,衣服,0,一般！用手摸起来硬硬的，假贷！,28.890181993535386
19599,水果,1,果子个头刚刚好，新鲜，准时送达,12.849754803260945
5314,平板,1,机器很好，公司内部使用小巧，赞,18.010493983685787
34476,洗发水,0,垃圾 不取屑 太垃圾了 假货,141.61538814119154
17367,水果,1,第一买水果遇到几个坏的，无语了,24.02666780206773
4210,平板,1,总体来说还不错吧，看视频够了,3.320533787109582
7591,平板,1,"不错,很好！！！！值得推荐！",12.126565675411513
37659,蒙牛,0,现在基本不喝蒙牛了～ 昏倒!,174.83695740847642
38241,衣服,1,面料，款式很好，买了很多件了。,13.80204606631009
34824,洗发水,0,太少了！严重与图？不符！！！,208.97537620797522
19671,水果,1,苹果，脆，甜，同事也一起来买!,30.955292128363364
23935,水果,0,总体挺好，不过里边有个别是坏的,30.735058300089293
33016,洗发水,0,味道不对。和超市买的不一样。,8.251309325117276
15177,手机,0,信号不好~！而且可以下铃声~~,53.23096573784103
35813,热水器,1,使用后真心不错，现在才评价。,14.015634663881684
18578,水果,1,发货速度快，包装完整，个头大。,3.780023825955941
36211,蒙牛,1,强大的蒙牛 笑翻了~ 转发微博,68.70176587212345
42374,衣服,1,穿着舒服，面料很柔软，真的不错,4.78882820245376
7235,平板,1,太棒了，性价比很好必须给好评。,10.302784266237179
20223,水果,1,个头不大，有伤疤，以后不会回购,16.49870579667158
38588,衣服,1,质量很好，面料不错，样式很好看,5.567217393143826
9585,平板,0,这2g的网，老年人都嫌慢。。,18.51093703795427
33252,洗发水,0,用过后有头皮屑，没实体店的好用,9.89902521873709
29716,洗发水,1,还是原来的味道！浓浓的潘婷味！,14.42031868326556
14641,手机,0,难道这就是中国奸商的经营之道？,10.802239434749488
42029,衣服,1,衣服挺好，快递挺快，好评！！！,70.54655787125874
34637,洗发水,0,买了套装居然没送两瓶小的，差评,67.5967833891724
45291,衣服,0,与实物不一样，颜色不怎么好看！,5.037519884556551
61384,酒店,0,又小又脏 态度一般 不推荐 嗯,63.82393369504459
46171,衣服,0,本来买小了换了好久，有条裂缝,80.55316508177901
44611,衣服,0,一点都不好，这叫什么黑色，坑人,18.626438368706697
15981,水果,1,非常的快，苹果也如宣传的那样。,42.73914762007527
34163,洗发水,0,赠品还需要领取才有，真是少见。,14.476400463374343
34940,洗发水,0,极差的包装，被人盗用过少了很多,18.916490590965132
42257,衣服,1,很合身 整体都很好 自己很喜欢,5.773737829399435
18206,水果,1,满满一大盒子，口味很不错！赞！,12.886182902953
3816,平板,1,外观工整，触屏灵敏整体画面不错,8.879184804718856
44878,衣服,0,什么东西，要韩版的，拿段码。,86.74791568812641
6722,平板,1,东西好快递快下回还来京东好棒,260.44591198932
29549,洗发水,1,大品牌就是好，等使用了在评价,10.629764780093765
14527,手机,0,没有专用的数据线与电脑连接.,3.88312707209501
35099,洗发水,0,质量一般价格太高比实体店好高,15.581162753797443
42366,衣服,1,包装十分好，质量也不错，很赞,6.50029779492126
3732,平板,1,之前一直用华为，很喜欢，很好用,3.7992612734411084
19719,水果,1,一直买的，正好搞活动，比较新鲜,9.796339819726859
23275,水果,0,坏的实在是太多，请问店家怎么弄,9.909708897972303
4796,平板,1,爱我中华，支持华为，质量很好。,8.662309336331756
33420,洗发水,0,不怎么样，像假的，请大家注意。,4.876624371324575
20706,水果,0,九个萍果，吃下去5个都是烂心!,92.15667841030283
20123,水果,1,很好，一直在京东自营店买水果！,7.197009547515833
47119,衣服,0,感觉买小了，穿上很紧，不舒服,48.36763788153219
28104,洗发水,1,还没用呢，看着挺好的也很实惠,8.833888862980817
26481,洗发水,1,相信京东！好东西！优惠便宜！！,11.779773641913401
13421,手机,1,色彩明亮，对比度好，通话质量高,5.141737513470428
33493,洗发水,0,不好用 用了以后感觉头发粗糙,4.678243977689142
32233,洗发水,0,买完就降价，欺骗 消费者，垃圾,9.016829745037796
25935,洗发水,1,很划算了啦，送两小瓶。还送一*,58.9090883834145
27631,洗发水,1,洗头发很柔，很好的保护了头发。,3.5112971316233175
31436,洗发水,0,但是感觉不像真的，洗完了起头屑,20.863498422278415
46467,衣服,0,不标准码，而且布料也不怎么符合,7.911141890628941
35365,洗发水,0,物流很快很好，发货太慢，差评,16.50285566379209
40171,衣服,1,裤子不错，一次比较满意的网购。,15.462506660191721
8075,平板,0,用了一个月机子就很卡，真心垃圾,6.762006855038837
57422,酒店,0,适合机场出发 就在浦东机场附近,8.400710707073511
38672,衣服,1,质量还不错，货发到的也很及时,8.94604297630551
44316,衣服,0,什么破裤子还掉色。真心无语！,32.45429689961408
19025,水果,1,个头挺大的，就是重量轻呀！好吃,9.880597861892031
38378,衣服,1,穿上很舒服，很满意，质量不错,3.8098186123340523
18938,水果,1,很好吃的苹果，水分足，味道甜美,3.6058945940025806
32337,洗发水,0,假货 用完之后头皮屑特别特别痒,27.00217799628853
33014,洗发水,0,家里人洗了都突然好多头皮屑。,71.24057335508785
33597,洗发水,0,买回来试用了，很失望，不是正品,3.4390867809551025
58103,酒店,0,住的东苑，应该不会住第二次了。,19.68559470444092
47007,衣服,0,失败购物，物流，客服太离谱。,11.383714214783849
15273,手机,0,声音质量很差，摄像头效果也很差,2.489311082162327
39636,衣服,1,质量很好，颜色很正，不错不错,4.025600223089815
28274,洗发水,1,很舒服是正品，比超市便宜太多！,5.9861079390543726
12601,平板,0,不是很好 卡得飞起 很差劲！,131.6064585789071
46137,衣服,0,质量不好 洗了5水 破了两条,131.14676656767537
31012,洗发水,0,不知道是不是真的 头屑还是很多,5.216015936396803
46207,衣服,0,太差了，图片跟裤子相差太远啦,24.957103685038444
58528,酒店,0,一般，早餐是不让人喜欢的，。。,16.773912714805
46225,衣服,0,刚买的衣服上有个破洞，闹心。,9.859663003106881
17449,水果,1,上次买的挺好吃，希望这次也一样,12.269434914521069
30697,洗发水,0,再也不会买京东了。这都是什么啊,9.412846825988026
13607,手机,1,好的就不说了，上面几位都说了,3.474850959272521
25537,洗发水,1,到货真快，活动价格也很实惠。,7.723964280658093
11423,平板,0,不好用，玩游戏卡，欺骗消费者,7.8566836426889015
29695,洗发水,1,物廉价美，值得购买，快递也快,9.461620664872099
30842,洗发水,0,为什么东西撒了，也不给个说法呢,8.484391055586217
41099,衣服,1,老公很喜欢 大小合适 面料不错,20.58594553983222
27262,洗发水,1,蛮好，挺划算的！但是没那么香！,11.999305298771029
38569,衣服,1,老公很喜欢了，裤子质量很不错了,17.50815746869495
39778,衣服,1,大小合适，价格实惠，不错不错?,8.187259050828278
46886,衣服,0,相当差劲，不符合实际，乱弹琴,39.836324331615025
26925,洗发水,1,119买的，物流很快，包装好,9.854828088376097
47101,衣服,0,不好快递也慢还是旧的还有个洞,72.69688070508158
30797,洗发水,0,假货，越洗越痒，还买这么贵，靠,25.146667405599587
3513,平板,1,给老爸买的，目前用下来还可以。,6.675140745368368
9795,平板,0,很差，待机时间短，玩不了游戏。,4.944943763781607
38103,衣服,1,宝贝收到了，很喜欢，质量不错，,7.09909385996189
29474,洗发水,1,很实惠，比超市卖的便宜多了！,2.508467536440157
23733,水果,0,酸苹果，再也不想在京东买水果了,4.599199090454134
7361,平板,1,像素不错，很精致，挺喜欢的。,5.07654437465018
30625,洗发水,0,不好用，假的，洗了有头皮屑…,66.03303860663534
18703,水果,1,真的很不错。没有坏果，较均匀。,14.904233017746405
41969,衣服,1,衣服不错，没买两天就降价不爽,59.36454291065117
27243,洗发水,1,不错，但发给我的可能是旧款的。,15.306099012646424
31287,洗发水,0,暴力快递，包装特差。。。。。,44.28501517752744
18873,水果,1,香甜可口，水份充足，物流快速。,5.804286808598275
35050,洗发水,0,觉得被坑了，就这么*，心很疼！,41.05374936111946
31492,洗发水,0,超级不好假的，洗了还长头皮屑,280.7872356126075
6680,平板,1,还不错，挺好看的，物美价廉。,2.741663966858591
12122,平板,0,才买两天，打王者荣耀就中途重启,22.99551535723798
11873,平板,0,只收到平板，64G卡不知在哪,50.28712934290172
4303,平板,1,物流神速，手机还没用，用后再评,103.84892236700804
45898,衣服,0,这裤子真的是六，脱线脱得太凶,89.02393592678166
46887,衣服,0,与实际差太多了，失望失望透顶,19.28555261937977
34346,洗发水,0,绝对是假货！用完头发毛糙油腻！,24.17951693237857
42682,衣服,1,很好的衣服 布料也好试穿很舒服,9.446520668112544
28391,洗发水,1,宝贝很好，价格实惠，支持京东,7.059094703614947
16726,水果,1,又甜又脆，超级好吃，推荐一下。,3.413070136926874
40655,衣服,1,质量不错，穿着很合适，值得购买,3.9360631754568915
20361,水果,1,看起来就很新鲜，不错的一次购物,3.8843936410723905
39089,衣服,1,好好，正品估工精细，值得购买，,16.758390870835164
33642,洗发水,0,送货速度挺快，可惜刚买完就降价,7.157797830170092
13449,手机,1,操作简便，外形美观，功能实用。,3.7943790786538996
15779,水果,1,物流快。香脆有余，甜味一般甜。,97.41733792849007
40306,衣服,1,没有色差，质量很好，手感也不错,3.0482570060967267
10809,平板,0,购买后第二天降40元，不爽。,23.809279967641512
20708,水果,0,东西一般，价格便宜，不太好吃。,7.474933638553886
31865,洗发水,0,严重怀疑是假货，用了过敏，慎用,17.783124357506786
43167,衣服,0,掉颜色，很差劲真是搞的人不爽,39.858934789075676
32279,洗发水,0,洗了头很痒，充分怀疑质量有问题,17.573102322236483
3421,平板,1,无黑边，待机时间长，值得购买，,4.471467303203246
44640,衣服,0,裤子还是不能在网上买，差别大啊,13.39855395450412
38874,衣服,1,裤子很不错，大小合适，面料舒适,4.960624663557493
8462,平板,0,不是说京东自营的都带发票吗？,4.436740177799213
41991,衣服,1,满意 特别好纯棉的布料很喜欢,19.89910622840674
26106,洗发水,1,囤货，保质期要到2020年呢。,63.87879000488974
46231,衣服,0,差死了，颜色根本对不上，太差了,4.204563545668942
39520,衣服,1,嗯很好，很满意，下次还会光顾,4.342414462710048
38607,衣服,1,质量还行，就是有点松松垮垮的。,2.799214551148408
29544,洗发水,1,采购囤货，买少了，下次继续。,21.962233215473514
30810,洗发水,0,快递送过来，已经漏了小半瓶了,22.06970444353411
38668,衣服,1,质量不错，尺码很准，穿着很舒服,5.444303320679129
58922,酒店,0,床和被子比较潮，房价灯光昏暗,93.72900566491198
4491,平板,1,帮家里老板买的，质量还可以。,4.487853928011699
7131,平板,1,是正品，用着不错，感觉还可以,2.7879061047104474
26587,洗发水,1,想要完美人生，就用沙宣洗发水。,13.802547223001255
26100,洗发水,1,一如既往的信赖京东 东西很好用,4.4447592156043365
8690,平板,0,第一次买到怎么差的东西 差评,13.928711706655859
42510,衣服,1,裤子不错，穿着舒适，有点弹性。,6.893041609205054
19285,水果,1,水果水汁多特别甜很喜欢买了很多,7.140383956688227
31851,洗发水,0,味道太浓不喜欢。。。。。。?,20.0043054265131
36601,蒙牛,1,我喜欢喝，蒙牛酸牛奶，啊哈哈,12.849900885552913
28611,洗发水,1,品牌就是品牌，没得说的，全五分,20.64014425426437
4729,平板,1,用了段时间，全家都是华为的粉丝,6.0932739828442575
59113,酒店,0,很一般，乘飞机没办法，性价比第,9.15172423156184
7174,平板,1,物流很好，用着很好，速度很快。,13.952765256481452
36051,蒙牛,1,蒙牛们造蒙牛，蒙牛实在太牛。,16.716076861083632
27442,洗发水,1,别人推荐的说是很好用，打算试试,5.24042803508117
10512,平板,0,太差太非常非常的差太差，差太差,4.529990762732439
30455,洗发水,0,没有以前的好用，好像是假的。,9.171205938265189
37453,蒙牛,0,蒙牛真心不敢喝了啊 转发微博,81.37795015408484
57607,酒店,0,除了位置方便 再什么都不满意,18.981201931972098
39948,衣服,1,很好，穿着很舒服，下次还会在买,8.886238982088788
34275,洗发水,0,洗发水还可以，润发乳一点都不好,6.819688719646288
32816,洗发水,0,不知道真假，就连外包装都没有,4.087502105266407
46775,衣服,0,质量垃圾价格也不算便宜，地摊货,15.464495864524576
21535,水果,0,这次的苹果很不新鲜。皮都皱了。,6.335266690050666
11520,平板,0,产品有些瑕疵，刚发现，看图。,8.994270620936536
24387,水果,0,上当了，又酸又不甜，不好吃……,19.17363031960049
43941,衣服,0,不行质量太差了，线头超级多。,21.693498550556196
34723,洗发水,0,妈了个蛋的 买了就降价 鄙视,98.72103122077648
33219,洗发水,0,头痒，咋退货啊，如果能退就好啦,16.02213070122549
13718,手机,1,"外型非常喜欢,不夸张,显稳重.",8.421348452226848
11754,平板,0,用了一段时间，不咋样，修两次了,8.96101753401701
47096,衣服,0,买回来裤子掉色，摸着满手都是,24.685581594887868
10255,平板,0,服了京东在线客服，简直不是人,4.634924565826395
13551,手机,1,外观还是不错的，基本功能都有,3.5669443693073095
32078,洗发水,0,用了头皮痒，而且还脱发，好心塞,9.154044806563043
14023,手机,1,"外形美观,小巧,很适合女孩子用",5.40459142615663
11493,平板,0,对京东真是无语了.......,4.4724270738545835
57048,酒店,0,照片跟房间差别太大 欺骗消费者,16.69563238267089
26500,洗发水,1,现在还没用，不过活动相当给力。,8.414825873348308
